time_s,policy,empty_polls,full_polls,packets,sleeps,skip_fraction,nanoseconds_per_inference,packets_missed
29.0,baseline,998,0,0,998,1.0000,11.74,0
29.1,baseline,998,0,0,998,1.0000,11.56,0
29.2,baseline,998,0,0,998,1.0000,11.85,0
29.3,baseline,998,0,0,998,1.0000,11.51,0
29.4,baseline,998,0,0,998,1.0000,11.80,0
29.5,baseline,998,0,0,998,1.0000,11.32,0
29.6,baseline,991,0,0,991,1.0000,12.87,0
29.7,baseline,998,0,0,998,1.0000,11.53,0
29.8,baseline,997,0,0,997,1.0000,11.67,0
29.9,baseline,996,0,0,996,1.0000,11.93,0
